date,Open,High,Low,Close,Volume,MarketCap
2025-02-25,91396.76686930266,91396.76686930266,91396.76686930266,91396.76686930266,45539703844.38777,1814176779160.4363
2025-02-26,88755.7693356979,88755.7693356979,88755.7693356979,88755.7693356979,96742453402.56294,1759750360550.3337
2025-02-27,83900.11496524839,83900.11496524839,83900.11496524839,83900.11496524839,69277430795.68657,1664314955447.7466
2025-02-28,84709.14477847965,84709.14477847965,84709.14477847965,84709.14477847965,305190442156.92804,1679555320077.2097
2025-03-01,84441.9012237131,84441.9012237131,84441.9012237131,84441.9012237131,80695237175.07367,1674754437110.342
2025-03-02,86005.25629681018,86005.25629681018,86005.25629681018,86005.25629681018,30634474722.6359,1705564098300.8237
2025-03-03,94261.53286538439,94261.53286538439,94261.53286538439,94261.53286538439,61859112550.80991,1868321705444.4878
2025-03-04,86124.71418722175,86124.71418722175,86124.71418722175,86124.71418722175,68715362745.4567,1708198960874.3418
2025-03-05,87310.80531078295,87310.80531078295,87310.80531078295,87310.80531078295,65863356680.42408,1731441668069.6523
2025-03-06,90604.08098523637,90604.08098523637,90604.08098523637,90604.08098523637,51606642859.81411,1797706868227.531
2025-03-07,90001.40087607042,90001.40087607042,90001.40087607042,90001.40087607042,47555759124.64708,1782785866811.654
2025-03-08,86773.33597555371,86773.33597555371,86773.33597555371,86773.33597555371,63216440874.73251,1720436931689.2776
2025-03-09,86142.9833586432,86142.9833586432,86142.9833586432,86142.9833586432,18809360803.37126,1708605516770.228
2025-03-10,80751.13893300897,80751.13893300897,80751.13893300897,80751.13893300897,32013406240.51754,1602073794580.0344
2025-03-11,78783.94057934263,78783.94057934263,78783.94057934263,78783.94057934263,49983692766.22745,1563547150147.7332
2025-03-12,82799.1080292053,82799.1080292053,82799.1080292053,82799.1080292053,56404462275.083046,1642997419531.6057
2025-03-13,83884.24578828987,83884.24578828987,83884.24578828987,83884.24578828987,41782186208.59073,1662502658717.542
2025-03-14,81098.90052436228,81098.90052436228,81098.90052436228,81098.90052436228,32583592654.882656,1608477373718.186
2025-03-15,83971.70916064628,83971.70916064628,83971.70916064628,83971.70916064628,28571483950.074646,1665725559905.8198
2025-03-16,84391.69087647168,84391.69087647168,84391.69087647168,84391.69087647168,10761796127.312485,1674173293916.4658
2025-03-17,82610.61750343916,82610.61750343916,82610.61750343916,82610.61750343916,21638031633.118767,1638672153483.722
2025-03-18,84075.36559694471,84075.36559694471,84075.36559694471,84075.36559694471,19659366246.596867,1667799227887.438
2025-03-19,82780.03048688271,82780.03048688271,82780.03048688271,82780.03048688271,24557570268.85276,1642578274105.806
2025-03-20,86815.44109470697,86815.44109470697,86815.44109470697,86815.44109470697,33871216993.304657,1721565138141.278
2025-03-21,84270.84358966233,84270.84358966233,84270.84358966233,84270.84358966233,27579127651.06656,1672550706502.8184
2025-03-22,84009.532917822,84009.532917822,84009.532917822,84009.532917822,18091004975.919056,1666749159154.2927
2025-03-23,83793.30854192551,83793.30854192551,83793.30854192551,83793.30854192551,7771134681.982918,1662574363663.653
2025-03-24,85787.70914901773,85787.70914901773,85787.70914901773,85787.70914901773,12617587530.619724,1702009594329.4495
2025-03-25,87327.72969669085,87327.72969669085,87327.72969669085,87327.72969669085,27270889835.1835,1732715331970.134
2025-03-26,87520.58391530563,87520.58391530563,86377.77243914825,86377.77243914825,27202813914.620487,1715462351194.2595
